datetime,Daily_peak_wind,SustainedWindSpeed,airport
2006-01-01,24.0,20.0,aspen
2006-01-02,29.0,21.0,aspen
2006-01-03,37.0,21.0,aspen
2006-01-04,18.0,15.0,aspen
2006-01-05,13.0,10.0,aspen
2006-01-06,12.0,10.0,aspen
2006-01-07,28.0,21.0,aspen
2006-01-08,30.0,21.0,aspen
2006-01-09,12.0,10.0,aspen
2006-01-10,12.0,10.0,aspen
2006-01-11,14.0,12.0,aspen
2006-01-12,28.0,22.0,aspen
2006-01-13,12.0,10.0,aspen
2006-01-14,18.0,14.0,aspen
2006-01-15,24.0,20.0,aspen
2006-01-16,21.0,16.0,aspen
2006-01-17,14.0,10.0,aspen
2006-01-18,23.0,18.0,aspen
2006-01-19,12.0,9.0,aspen
2006-01-20,14.0,10.0,aspen
2006-01-21,12.0,9.0,aspen
2006-01-22,13.0,12.0,aspen
2006-01-23,14.0,12.0,aspen
2006-01-24,10.0,9.0,aspen
2006-01-25,30.0,26.0,aspen
2006-01-26,29.0,23.0,aspen
2006-01-27,17.0,14.0,aspen
2006-01-28,17.0,12.0,aspen
2006-01-29,21.0,15.0,aspen
2006-01-30,13.0,12.0,aspen
2006-02-01,15.0,10.0,aspen
2006-02-02,31.0,23.0,aspen
2006-02-03,21.0,16.0,aspen
2006-02-04,13.0,12.0,aspen
2006-02-05,35.0,26.0,aspen
2006-02-06,13.0,10.0,aspen
2006-02-07,13.0,12.0,aspen
2006-02-08,14.0,13.0,aspen
2006-02-09,13.0,12.0,aspen
2006-02-10,23.0,17.0,aspen
2006-02-11,13.0,10.0,aspen
2006-02-12,12.0,10.0,aspen
2006-02-13,15.0,13.0,aspen
2006-02-14,23.0,18.0,aspen
2006-02-15,43.0,32.0,aspen
2006-02-16,24.0,20.0,aspen
2006-02-17,26.0,20.0,aspen
2006-02-18,16.0,13.0,aspen
2006-02-19,28.0,22.0,aspen
2006-02-20,12.0,9.0,aspen
2006-02-21,14.0,10.0,aspen
2006-02-22,13.0,12.0,aspen
2006-02-23,14.0,10.0,aspen
2006-02-24,15.0,12.0,aspen
2006-02-25,16.0,12.0,aspen
2006-02-26,13.0,12.0,aspen
2006-02-27,16.0,14.0,aspen
2006-03-01,24.0,17.0,aspen
2006-03-02,20.0,12.0,aspen
2006-03-03,29.0,23.0,aspen
2006-03-04,28.0,21.0,aspen
2006-03-05,13.0,10.0,aspen
2006-03-06,26.0,24.0,aspen
2006-03-07,33.0,22.0,aspen
2006-03-08,22.0,16.0,aspen
2006-03-09,16.0,14.0,aspen
2006-03-10,23.0,18.0,aspen
2006-03-11,22.0,18.0,aspen
2006-03-12,24.0,20.0,aspen
2006-03-13,20.0,17.0,aspen
2006-03-14,20.0,14.0,aspen
2006-03-15,29.0,21.0,aspen
2006-03-16,14.0,12.0,aspen
2006-03-17,28.0,22.0,aspen
2006-03-18,21.0,18.0,aspen
2006-03-19,20.0,16.0,aspen
2006-03-20,23.0,18.0,aspen
2006-03-21,15.0,13.0,aspen
2006-03-23,14.0,12.0,aspen
2006-03-24,14.0,10.0,aspen
2006-03-25,22.0,18.0,aspen
2006-03-26,38.0,28.0,aspen
2006-03-27,13.0,12.0,aspen
2006-03-28,20.0,16.0,aspen
2006-03-29,36.0,32.0,aspen
2006-03-30,20.0,15.0,aspen
2006-04-01,23.0,17.0,aspen
2006-04-02,32.0,24.0,aspen
2006-04-03,15.0,12.0,aspen
2006-04-04,26.0,23.0,aspen
2006-04-05,35.0,29.0,aspen
2006-04-06,26.0,20.0,aspen
2006-04-07,15.0,12.0,aspen
2006-04-08,18.0,14.0,aspen
2006-04-09,24.0,21.0,aspen
2006-04-10,31.0,24.0,aspen
2006-04-11,24.0,21.0,aspen
2006-04-12,22.0,17.0,aspen
2006-04-13,26.0,20.0,aspen
2006-04-14,25.0,20.0,aspen
2006-04-15,25.0,21.0,aspen
2006-04-16,24.0,20.0,aspen
2006-04-17,46.0,36.0,aspen
2006-04-18,26.0,21.0,aspen
2006-04-19,20.0,15.0,aspen
2006-04-20,24.0,16.0,aspen
2006-04-21,16.0,13.0,aspen
2006-04-22,25.0,21.0,aspen
2006-04-23,41.0,32.0,aspen
2006-04-24,30.0,23.0,aspen
2006-04-25,21.0,16.0,aspen
2006-04-26,20.0,15.0,aspen
2006-04-27,31.0,21.0,aspen
2006-04-28,24.0,20.0,aspen
2006-04-29,35.0,23.0,aspen
2006-05-01,23.0,18.0,aspen
2006-05-02,35.0,29.0,aspen
2006-05-03,,29.0,aspen
2006-05-04,30.0,21.0,aspen
2006-05-05,31.0,23.0,aspen
2006-05-06,23.0,20.0,aspen
2006-05-07,22.0,18.0,aspen
2006-05-08,26.0,23.0,aspen
2006-05-09,32.0,21.0,aspen
2006-05-10,30.0,23.0,aspen
2006-05-11,20.0,15.0,aspen
2006-05-12,29.0,20.0,aspen
2006-05-13,24.0,18.0,aspen
2006-05-14,30.0,25.0,aspen
2006-05-15,22.0,16.0,aspen
2006-05-16,24.0,20.0,aspen
2006-05-17,39.0,28.0,aspen
2006-05-18,38.0,24.0,aspen
2006-05-19,29.0,24.0,aspen
2006-05-20,30.0,25.0,aspen
2006-05-21,28.0,23.0,aspen
2006-05-22,48.0,,aspen
2006-05-23,22.0,17.0,aspen
2006-05-24,15.0,12.0,aspen
2006-05-25,20.0,14.0,aspen
2006-05-26,24.0,18.0,aspen
2006-05-27,31.0,24.0,aspen
2006-05-28,28.0,22.0,aspen
2006-05-29,24.0,20.0,aspen
2006-05-30,29.0,17.0,aspen
2006-06-01,24.0,15.0,aspen
