datetime,Daily_peak_wind,SustainedWindSpeed,airport
2006-01-01,33.0,25.0,montrose
2006-01-02,37.0,22.0,montrose
2006-01-03,46.0,31.0,montrose
2006-01-04,18.0,15.0,montrose
2006-01-05,,18.0,montrose
2006-01-06,14.0,12.0,montrose
2006-01-07,20.0,15.0,montrose
2006-01-08,35.0,25.0,montrose
2006-01-09,12.0,10.0,montrose
2006-01-10,21.0,17.0,montrose
2006-01-11,13.0,10.0,montrose
2006-01-12,28.0,23.0,montrose
2006-01-13,15.0,14.0,montrose
2006-01-14,20.0,15.0,montrose
2006-01-15,35.0,26.0,montrose
2006-01-16,29.0,22.0,montrose
2006-01-17,17.0,15.0,montrose
2006-01-18,30.0,22.0,montrose
2006-01-19,26.0,18.0,montrose
2006-01-20,,14.0,montrose
2006-01-21,,24.0,montrose
2006-01-22,17.0,13.0,montrose
2006-01-23,18.0,15.0,montrose
2006-01-24,18.0,15.0,montrose
2006-01-25,25.0,20.0,montrose
2006-01-26,30.0,20.0,montrose
2006-01-27,26.0,22.0,montrose
2006-01-28,12.0,9.0,montrose
2006-01-29,25.0,23.0,montrose
2006-01-30,17.0,10.0,montrose
2006-02-01,35.0,22.0,montrose
2006-02-02,28.0,17.0,montrose
2006-02-03,14.0,13.0,montrose
2006-02-04,25.0,18.0,montrose
2006-02-05,32.0,24.0,montrose
2006-02-06,14.0,13.0,montrose
2006-02-07,12.0,10.0,montrose
2006-02-08,13.0,12.0,montrose
2006-02-10,35.0,26.0,montrose
2006-02-11,15.0,12.0,montrose
2006-02-12,14.0,12.0,montrose
2006-02-13,17.0,13.0,montrose
2006-02-14,35.0,26.0,montrose
2006-02-15,55.0,40.0,montrose
2006-02-16,25.0,21.0,montrose
2006-02-17,35.0,24.0,montrose
2006-02-18,30.0,21.0,montrose
2006-02-19,31.0,23.0,montrose
2006-02-20,,13.0,montrose
2006-02-21,17.0,13.0,montrose
2006-02-22,14.0,10.0,montrose
2006-02-23,31.0,30.0,montrose
2006-02-24,,29.0,montrose
2006-02-25,23.0,15.0,montrose
2006-02-26,22.0,18.0,montrose
2006-02-27,,13.0,montrose
2006-03-01,25.0,18.0,montrose
2006-03-02,22.0,13.0,montrose
2006-03-03,44.0,31.0,montrose
2006-03-04,39.0,28.0,montrose
2006-03-05,,18.0,montrose
2006-03-06,33.0,26.0,montrose
2006-03-07,36.0,26.0,montrose
2006-03-08,38.0,30.0,montrose
2006-03-09,21.0,17.0,montrose
2006-03-10,41.0,31.0,montrose
2006-03-11,22.0,18.0,montrose
2006-03-12,44.0,23.0,montrose
2006-03-13,23.0,16.0,montrose
2006-03-14,28.0,20.0,montrose
2006-03-15,47.0,38.0,montrose
2006-03-16,23.0,21.0,montrose
2006-03-17,33.0,26.0,montrose
2006-03-18,33.0,25.0,montrose
2006-03-19,28.0,21.0,montrose
2006-03-20,24.0,20.0,montrose
2006-03-21,25.0,18.0,montrose
2006-03-22,32.0,24.0,montrose
2006-03-23,23.0,12.0,montrose
2006-03-24,17.0,13.0,montrose
2006-03-25,38.0,22.0,montrose
2006-03-26,51.0,30.0,montrose
2006-03-27,24.0,12.0,montrose
2006-03-28,28.0,18.0,montrose
2006-03-29,49.0,36.0,montrose
2006-03-30,18.0,13.0,montrose
2006-04-01,39.0,30.0,montrose
2006-04-02,21.0,14.0,montrose
2006-04-03,16.0,16.0,montrose
2006-04-04,28.0,21.0,montrose
2006-04-05,55.0,41.0,montrose
2006-04-06,29.0,22.0,montrose
2006-04-07,17.0,13.0,montrose
2006-04-08,30.0,17.0,montrose
2006-04-09,33.0,25.0,montrose
2006-04-10,41.0,32.0,montrose
2006-04-11,37.0,26.0,montrose
2006-04-12,24.0,18.0,montrose
2006-04-13,38.0,31.0,montrose
2006-04-14,41.0,29.0,montrose
2006-04-15,60.0,39.0,montrose
2006-04-16,31.0,22.0,montrose
2006-04-17,61.0,45.0,montrose
2006-04-18,22.0,17.0,montrose
2006-04-19,29.0,13.0,montrose
2006-04-20,21.0,13.0,montrose
2006-04-21,20.0,13.0,montrose
2006-04-22,35.0,28.0,montrose
2006-04-23,39.0,29.0,montrose
2006-04-24,38.0,30.0,montrose
2006-04-25,21.0,13.0,montrose
2006-04-26,25.0,15.0,montrose
2006-04-27,21.0,16.0,montrose
2006-04-28,47.0,37.0,montrose
2006-04-29,24.0,20.0,montrose
2006-05-01,23.0,14.0,montrose
2006-05-02,51.0,39.0,montrose
2006-05-03,35.0,29.0,montrose
2006-05-04,51.0,37.0,montrose
2006-05-05,30.0,22.0,montrose
2006-05-06,21.0,15.0,montrose
2006-05-07,25.0,17.0,montrose
2006-05-08,48.0,37.0,montrose
2006-05-09,26.0,21.0,montrose
2006-05-10,24.0,17.0,montrose
2006-05-11,18.0,14.0,montrose
2006-05-12,23.0,16.0,montrose
2006-05-13,20.0,14.0,montrose
2006-05-14,41.0,31.0,montrose
2006-05-15,41.0,31.0,montrose
2006-05-16,23.0,17.0,montrose
2006-05-17,25.0,17.0,montrose
2006-05-18,23.0,17.0,montrose
2006-05-19,41.0,31.0,montrose
2006-05-20,31.0,25.0,montrose
2006-05-21,31.0,20.0,montrose
2006-05-22,43.0,37.0,montrose
2006-05-23,21.0,14.0,montrose
2006-05-24,16.0,14.0,montrose
2006-05-25,32.0,25.0,montrose
2006-05-26,32.0,24.0,montrose
2006-05-27,41.0,30.0,montrose
2006-05-28,45.0,35.0,montrose
2006-05-29,21.0,16.0,montrose
2006-05-30,22.0,16.0,montrose
2006-06-01,18.0,14.0,montrose
2006-06-02,18.0,14.0,montrose
2006-06-03,23.0,17.0,montrose
2006-06-04,21.0,16.0,montrose
2006-06-05,24.0,16.0,montrose
2006-06-06,45.0,35.0,montrose
2006-06-07,39.0,25.0,montrose
2006-06-08,45.0,38.0,montrose
2006-06-09,23.0,20.0,montrose
2006-06-10,38.0,24.0,montrose
2006-06-11,35.0,24.0,montrose
2006-06-12,33.0,24.0,montrose
2006-06-13,37.0,28.0,montrose
2006-06-14,53.0,40.0,montrose
2006-06-15,39.0,30.0,montrose
2006-06-16,29.0,22.0,montrose
2006-06-17,23.0,13.0,montrose
2006-06-18,,15.0,montrose
2006-06-19,43.0,29.0,montrose
2006-06-20,32.0,24.0,montrose
2006-06-21,20.0,16.0,montrose
2006-06-22,24.0,20.0,montrose
2006-06-23,22.0,17.0,montrose
2006-06-24,21.0,17.0,montrose
2006-06-25,26.0,22.0,montrose
2006-06-26,32.0,24.0,montrose
2006-06-27,29.0,22.0,montrose
2006-06-28,37.0,28.0,montrose
2006-06-29,24.0,18.0,montrose
2006-07-01,39.0,33.0,montrose
2006-07-02,32.0,26.0,montrose
2006-07-03,31.0,22.0,montrose
2006-07-04,30.0,26.0,montrose
2006-07-05,30.0,21.0,montrose
2006-07-06,37.0,26.0,montrose
2006-07-07,31.0,25.0,montrose
2006-07-08,21.0,18.0,montrose
2006-07-09,37.0,29.0,montrose
2006-07-10,38.0,31.0,montrose
2006-07-11,36.0,32.0,montrose
2006-07-12,26.0,20.0,montrose
2006-07-13,17.0,15.0,montrose
2006-07-14,20.0,16.0,montrose
2006-07-15,33.0,28.0,montrose
2006-07-16,43.0,35.0,montrose
2006-07-17,45.0,35.0,montrose
2006-07-18,30.0,24.0,montrose
2006-07-19,37.0,30.0,montrose
2006-07-20,36.0,26.0,montrose
2006-07-21,40.0,33.0,montrose
2006-07-22,20.0,14.0,montrose
2006-07-23,25.0,21.0,montrose
2006-07-24,32.0,25.0,montrose
2006-07-25,39.0,33.0,montrose
2006-07-26,39.0,31.0,montrose
2006-07-27,23.0,18.0,montrose
2006-07-28,21.0,16.0,montrose
2006-07-29,39.0,31.0,montrose
2006-07-30,40.0,33.0,montrose
2006-08-01,48.0,33.0,montrose
2006-08-02,17.0,13.0,montrose
2006-08-03,25.0,20.0,montrose
2006-08-04,16.0,14.0,montrose
2006-08-05,25.0,20.0,montrose
2006-08-06,23.0,17.0,montrose
2006-08-07,33.0,28.0,montrose
2006-08-08,20.0,16.0,montrose
2006-08-09,35.0,26.0,montrose
2006-08-10,32.0,24.0,montrose
2006-08-11,28.0,22.0,montrose
2006-08-12,24.0,21.0,montrose
2006-08-13,29.0,22.0,montrose
2006-08-14,20.0,15.0,montrose
2006-08-15,41.0,35.0,montrose
2006-08-16,20.0,16.0,montrose
2006-08-17,33.0,28.0,montrose
2006-08-18,25.0,20.0,montrose
2006-08-19,33.0,22.0,montrose
2006-08-20,21.0,18.0,montrose
2006-08-21,20.0,14.0,montrose
2006-08-22,28.0,22.0,montrose
2006-08-23,18.0,16.0,montrose
2006-08-24,35.0,25.0,montrose
2006-08-25,17.0,14.0,montrose
2006-08-26,35.0,28.0,montrose
2006-08-27,13.0,10.0,montrose
2006-08-28,25.0,15.0,montrose
2006-08-29,18.0,15.0,montrose
2006-08-30,26.0,21.0,montrose
2006-09-01,16.0,14.0,montrose
2006-09-02,22.0,18.0,montrose
2006-09-03,18.0,14.0,montrose
2006-09-04,18.0,15.0,montrose
