#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1059: Cochetopa Pass, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Cochetopa Pass (1059)
# Colorado  SNOTEL Site - 10020 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 13, 2018 9:09:11 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2004-09-10,,,59,39,48,
2004-09-11,,,69,36,52,
2004-09-12,,,69,45,53,
2004-09-13,,,70,41,53,
2004-09-14,,,69,38,52,
2004-09-15,,,63,29,46,
2004-09-16,,,68,36,52,
2004-09-17,,,68,39,52,
2004-09-18,,,64,45,53,
2004-09-19,,,58,45,47,
2004-09-20,,,58,38,47,
2004-09-21,,,51,25,39,
2004-09-22,,,44,22,32,
2004-09-23,,,54,30,41,
2004-09-24,,,56,31,42,
2004-09-25,,,53,33,42,
2004-09-26,,,57,33,43,
2004-09-27,,,60,33,45,
2004-09-28,,,56,33,41,
2004-09-29,,,50,33,41,
2004-09-30,,,52,32,38,
2004-10-01,0.0,0.0,49,30,38,0.10
2004-10-02,0.0,0.1,52,31,38,0.00
2004-10-03,0.0,0.1,53,31,41,0.00
2004-10-04,0.0,0.1,52,32,41,0.00
2004-10-05,0.0,0.1,46,32,37,0.10
2004-10-06,0.0,0.2,49,33,38,0.50
2004-10-07,0.0,0.7,51,32,39,0.00
2004-10-08,0.0,0.7,58,32,43,0.00
2004-10-09,0.0,0.7,58,31,44,0.00
2004-10-10,0.0,0.7,56,31,42,0.00
2004-10-11,0.0,0.7,49,30,38,0.00
2004-10-12,0.0,0.7,55,30,40,0.00
2004-10-13,0.0,0.7,42,28,34,0.40
2004-10-14,0.0,1.1,52,28,39,0.10
2004-10-15,0.0,1.2,54,34,43,0.00
2004-10-16,0.0,1.2,57,33,45,0.00
2004-10-17,0.0,1.2,53,29,40,0.00
2004-10-18,0.0,1.2,49,28,36,0.00
2004-10-19,0.0,1.2,50,29,38,0.10
2004-10-20,0.0,1.3,52,30,40,0.10
2004-10-21,0.0,1.4,51,32,41,0.00
2004-10-22,0.0,1.4,36,25,30,0.00
2004-10-23,0.0,1.4,43,18,31,0.10
2004-10-24,0.0,1.5,48,26,34,0.00
2004-10-25,0.0,1.5,48,27,34,0.00
2004-10-26,0.0,1.5,47,29,37,0.10
2004-10-27,0.0,1.6,52,33,40,0.10
2004-10-28,0.0,1.7,48,27,38,0.00
2004-10-29,0.0,1.7,31,18,25,0.10
2004-10-30,0.0,1.8,36,17,26,0.10
2004-10-31,0.1,1.9,37,17,24,0.30
2004-11-01,0.3,2.2,27,8,19,0.00
2004-11-02,0.3,2.2,35,5,20,0.10
2004-11-03,0.4,2.3,44,17,30,0.20
2004-11-04,0.4,2.5,47,24,34,0.00
