#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 369: Brumley, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Brumley (369)
# Colorado  SNOTEL Site - 10600 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Apr 17, 2018 1:57:27 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-08-23,,21.6,,,,0.00
1980-08-24,,21.6,,,,0.00
1980-08-25,,21.6,,,,0.00
1980-08-26,,21.6,,,,0.00
1980-08-27,,21.6,,,,0.00
1980-08-28,,21.6,,,,0.00
1980-08-29,,21.6,,,,0.00
1980-08-30,,21.6,,,,0.00
1980-08-31,,21.6,,,,0.00
1980-09-01,,21.6,,,,0.00
1980-09-02,,21.6,,,,0.00
1980-09-03,,21.6,,,,0.00
1980-09-04,,21.6,,,,0.00
1980-09-05,,21.6,,,,0.00
1980-09-06,,21.6,,,,0.00
1980-09-07,,21.6,,,,0.00
1980-09-08,,21.6,,,,0.50
1980-09-09,,22.1,,,,0.20
1980-09-10,,22.3,,,,0.50
1980-09-11,,22.8,,,,0.00
1980-09-12,,22.8,,,,0.00
1980-09-13,,22.8,,,,0.00
1980-09-14,,22.8,,,,0.00
1980-09-15,,22.8,,,,0.00
1980-09-16,,22.8,,,,0.00
1980-09-17,,22.8,,,,0.00
1980-09-18,,22.8,,,,0.00
1980-09-19,,22.8,,,,0.00
1980-09-20,,22.8,,,,0.00
1980-09-21,,22.8,,,,0.00
1980-09-22,,22.8,,,,0.00
1980-09-23,,22.8,,,,0.00
1980-09-24,,22.8,,,,0.00
1980-09-25,,22.8,,,,0.00
1980-09-26,,22.8,,,,0.00
1980-09-27,,22.8,,,,0.00
1980-09-28,,22.8,,,,0.00
1980-09-29,,22.8,,,,0.00
1980-09-30,,22.8,,,,0.00
1980-10-01,0.0,0.0,,,,0.00
1980-10-02,0.0,0.0,,,,0.00
1980-10-03,0.0,0.0,,,,0.00
1980-10-04,0.0,0.0,,,,0.00
1980-10-05,0.0,0.0,,,,0.00
1980-10-06,0.0,0.0,,,,0.00
1980-10-07,0.0,0.0,,,,0.00
1980-10-08,0.0,0.0,,,,0.00
1980-10-09,0.0,0.0,,,,0.00
1980-10-10,0.0,0.0,,,,0.00
1980-10-11,0.0,0.0,,,,0.00
1980-10-12,0.0,0.0,,,,0.20
1980-10-13,0.1,0.2,,,,0.00
1980-10-14,0.1,0.2,,,,0.50
1980-10-15,0.7,0.7,,,,0.10
1980-10-16,0.5,0.8,,,,0.20
1980-10-17,0.5,1.0,,,,0.10
1980-10-18,0.5,1.1,,,,0.00
1980-10-19,0.4,1.1,,,,0.00
1980-10-20,0.0,1.1,,,,0.00
1980-10-21,0.0,1.1,,,,0.10
