#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 380: Butte, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Butte (380)
# Colorado  SNOTEL Site - 10160 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 13, 2018 5:43:33 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-10-01,0.0,0.0,,,,0.00
1980-10-02,0.0,0.0,,,,0.00
1980-10-03,0.0,0.0,,,,0.00
1980-10-04,0.0,0.0,,,,0.00
1980-10-05,0.0,0.0,,,,0.00
1980-10-06,0.0,0.0,,,,0.00
1980-10-07,0.0,0.0,,,,0.00
1980-10-08,0.0,0.0,,,,0.00
1980-10-09,0.0,0.0,,,,0.00
1980-10-10,0.0,0.0,,,,0.00
1980-10-11,0.0,0.0,,,,0.00
1980-10-12,0.0,0.0,,,,0.00
1980-10-13,0.0,0.0,,,,0.00
1980-10-14,0.0,0.0,,,,0.30
1980-10-15,0.4,0.3,,,,0.20
1980-10-16,0.4,0.5,,,,0.60
1980-10-17,1.1,1.1,,,,0.10
1980-10-18,1.2,1.2,,,,0.00
1980-10-19,1.2,1.2,,,,0.00
1980-10-20,1.2,1.2,,,,0.00
1980-10-21,1.2,1.2,,,,0.00
1980-10-22,1.2,1.2,,,,0.00
1980-10-23,1.2,1.2,,,,0.00
1980-10-24,1.1,1.2,,,,0.00
1980-10-25,1.1,1.2,,,,0.10
1980-10-26,1.2,1.3,,,,0.00
1980-10-27,1.2,1.3,,,,0.00
1980-10-28,1.3,1.3,,,,0.00
1980-10-29,1.3,1.3,,,,0.10
1980-10-30,1.3,1.4,,,,0.00
1980-10-31,1.3,1.4,,,,0.10
1980-11-01,1.3,1.5,,,,0.00
1980-11-02,1.3,1.5,,,,0.00
1980-11-03,1.3,1.5,,,,0.00
1980-11-04,1.3,1.5,,,,0.10
1980-11-05,1.3,1.6,,,,0.00
1980-11-06,1.3,1.6,,,,0.00
1980-11-07,1.3,1.6,,,,0.00
1980-11-08,1.3,1.6,,,,0.00
1980-11-09,1.3,1.6,,,,0.00
1980-11-10,1.3,1.6,,,,0.00
1980-11-11,1.3,1.6,,,,0.00
1980-11-12,1.3,1.6,,,,0.40
1980-11-13,1.8,2.0,,,,0.00
1980-11-14,1.8,2.0,,,,0.00
1980-11-15,1.8,2.0,,,,0.00
1980-11-16,1.7,2.0,,,,0.00
1980-11-17,1.4,2.0,,,,0.00
1980-11-18,1.3,2.0,,,,0.00
1980-11-19,1.3,2.0,,,,0.00
1980-11-20,1.3,2.0,,,,0.00
1980-11-21,1.3,2.0,,,,0.10
1980-11-22,1.3,2.1,,,,0.00
1980-11-23,1.3,2.1,,,,0.20
1980-11-24,1.5,2.3,,,,0.00
1980-11-25,1.8,2.3,,,,0.00
1980-11-26,1.8,2.3,,,,0.00
1980-11-27,1.8,2.3,,,,0.10
1980-11-28,1.8,2.4,,,,0.00
1980-11-29,1.8,2.4,,,,0.10
1980-11-30,1.8,2.5,,,,0.00
1980-12-01,1.8,2.5,,,,0.00
1980-12-02,1.8,2.5,,,,0.00
1980-12-03,1.8,2.5,,,,0.10
1980-12-04,1.8,2.6,,,,0.00
1980-12-05,1.8,2.6,,,,0.30
1980-12-06,2.3,2.9,,,,0.00
1980-12-07,2.6,2.9,,,,0.10
1980-12-08,2.6,3.0,,,,0.00
1980-12-09,2.6,3.0,,,,0.00
1980-12-10,2.6,3.0,,,,0.10
1980-12-11,2.6,3.1,,,,0.10
1980-12-12,2.6,3.2,,,,0.20
1980-12-13,2.6,3.4,,,,0.00
1980-12-14,2.6,3.4,,,,0.00
1980-12-15,2.6,3.4,,,,0.00
1980-12-16,2.6,3.4,,,,0.00
1980-12-17,2.6,3.4,,,,0.00
1980-12-18,2.6,3.4,,,,0.00
1980-12-19,2.6,3.4,,,,0.10
1980-12-20,2.7,3.5,,,,0.00
1980-12-21,2.7,3.5,,,,0.00
1980-12-22,2.7,3.5,,,,0.00
1980-12-23,3.0,3.5,,,,0.10
1980-12-24,3.0,3.6,,,,0.10
1980-12-25,3.1,3.7,,,,0.00
1980-12-26,3.1,3.7,,,,0.00
1980-12-27,3.1,3.7,,,,0.00
1980-12-28,3.1,3.7,,,,0.00
1980-12-29,3.1,3.7,,,,0.00
1980-12-30,3.1,3.7,,,,0.00
1980-12-31,3.1,3.7,,,,0.00
1981-01-01,3.1,3.7,,,,0.00
1981-01-02,3.1,3.7,,,,0.00
1981-01-03,3.1,3.7,,,,0.00
1981-01-04,3.1,3.7,,,,0.00
1981-01-05,3.1,3.7,,,,0.00
1981-01-06,3.1,3.7,,,,0.00
1981-01-07,3.1,3.7,,,,0.00
1981-01-08,3.1,3.7,,,,0.00
1981-01-09,3.1,3.7,,,,0.00
1981-01-10,3.1,3.7,,,,0.00
1981-01-11,3.1,3.7,,,,0.00
1981-01-12,3.1,3.7,,,,0.00
1981-01-13,3.1,3.7,,,,0.10
1981-01-14,3.2,3.8,,,,0.00
1981-01-15,3.2,3.8,,,,0.00
1981-01-16,3.2,3.8,,,,0.00
1981-01-17,3.2,3.8,,,,0.00
1981-01-18,3.2,3.8,,,,0.00
1981-01-19,3.2,3.8,,,,0.00
1981-01-20,3.2,3.8,,,,0.00
1981-01-21,3.2,3.8,,,,0.00
1981-01-22,3.2,3.8,,,,0.00
1981-01-23,3.2,3.8,,,,0.00
1981-01-24,3.2,3.8,,,,0.00
1981-01-25,3.2,3.8,,,,0.00
1981-01-26,3.2,3.8,,,,0.20
