#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 409: Columbine Pass, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Columbine Pass (409)
# Colorado  SNOTEL Site - 9400 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 14, 2018 3:50:34 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1986-09-09,,,8,8,8,
1986-09-10,,,36,30,32,
1986-09-11,,,60,29,43,
1986-09-12,,,60,34,47,
1986-09-13,,,59,43,51,
1986-09-14,,,65,43,51,
1986-09-15,,,64,42,52,
1986-09-16,,,63,39,50,
1986-09-17,,,59,35,46,
1986-09-18,,,54,38,44,
1986-09-19,,,52,41,47,
1986-09-20,,,52,46,48,
1986-09-21,,,53,43,47,
1986-09-22,,,44,39,41,
1986-09-23,,,46,38,40,
1986-09-24,,,39,27,30,
1986-09-25,,,32,29,30,
1986-09-26,,,40,28,31,
1986-09-27,,,49,31,38,
1986-09-28,,,52,31,36,
1986-09-29,,,45,30,36,
1986-09-30,,,46,32,35,
1986-10-01,0.0,0.0,52,30,41,0.00
1986-10-02,0.0,0.0,44,33,38,0.30
1986-10-03,0.0,0.3,35,29,32,0.20
1986-10-04,0.0,0.5,51,22,33,0.00
1986-10-05,0.0,0.5,59,25,38,0.00
1986-10-06,0.2,0.5,58,32,41,0.00
1986-10-07,0.3,0.5,57,33,42,0.00
1986-10-08,0.3,0.5,60,33,42,0.00
1986-10-09,0.7,0.5,59,32,44,0.00
1986-10-10,0.9,0.5,46,32,37,0.60
1986-10-11,1.0,1.1,36,24,30,0.90
1986-10-12,1.1,2.0,30,10,23,0.20
1986-10-13,1.1,2.2,51,9,27,0.00
1986-10-14,1.1,2.2,57,20,34,0.10
1986-10-15,1.1,2.3,55,26,38,0.00
1986-10-16,0.8,2.3,58,32,41,0.00
1986-10-17,0.2,2.3,,,,0.00
1986-10-18,0.0,2.3,51,35,43,0.00
1986-10-19,0.0,2.3,45,27,37,0.10
1986-10-20,0.0,2.4,44,26,31,0.20
1986-10-21,0.0,2.6,37,24,29,0.00
1986-10-22,0.0,2.6,40,26,31,0.00
1986-10-23,0.0,2.6,53,26,34,0.00
1986-10-24,0.0,2.6,,,,0.00
1986-10-25,0.0,2.6,,,,0.00
1986-10-26,0.0,2.6,57,28,38,0.00
1986-10-27,0.0,2.6,51,32,38,0.00
1986-10-28,0.1,2.6,61,32,41,0.00
1986-10-29,0.1,2.6,55,34,42,0.00
1986-10-30,0.2,2.6,54,35,43,0.00
1986-10-31,0.2,2.6,40,28,33,2.00
1986-11-01,2.2,4.6,33,29,31,0.60
1986-11-02,2.8,5.2,43,25,31,0.00
1986-11-03,2.8,5.2,41,19,29,0.00
1986-11-04,2.8,5.2,50,20,29,0.00
