#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 547: Ivanhoe, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Ivanhoe (547)
# Colorado  SNOTEL Site - 10400 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Apr 17, 2018 1:58:57 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1991-10-01,0.0,0.0,,,,0.00
1991-10-02,0.0,0.0,,,,0.00
1991-10-03,0.0,0.0,,,,0.00
1991-10-04,0.0,0.0,,,,0.00
1991-10-05,0.0,0.0,,,,0.00
1991-10-06,0.0,0.0,,,,0.00
1991-10-07,0.0,0.0,,,,0.00
1991-10-08,0.0,0.0,,,,0.00
1991-10-09,0.0,0.0,64,64,64,0.00
1991-10-10,0.0,0.0,64,35,48,0.00
1991-10-11,0.0,0.0,73,33,48,0.20
1991-10-12,0.0,0.2,65,31,45,0.10
1991-10-13,0.0,0.3,58,28,43,0.00
1991-10-14,0.0,0.3,55,22,38,0.00
1991-10-15,0.0,0.3,64,25,42,0.20
1991-10-16,0.0,0.5,68,30,46,0.00
1991-10-17,0.0,0.5,62,30,44,0.10
1991-10-18,0.0,0.6,58,29,43,0.00
1991-10-19,0.0,0.6,58,29,40,0.00
1991-10-20,0.0,0.6,56,27,39,0.00
1991-10-21,0.0,0.6,53,23,36,0.10
1991-10-22,0.0,0.7,55,26,39,0.00
1991-10-23,0.0,0.7,51,29,37,0.30
1991-10-24,0.3,1.0,29,21,25,1.00
1991-10-25,0.9,2.0,43,18,26,0.40
1991-10-26,1.2,2.4,55,14,31,0.00
1991-10-27,1.1,2.4,54,22,34,0.10
1991-10-28,1.1,2.5,27,3,16,0.40
1991-10-29,1.4,2.9,31,-4,12,0.10
1991-10-30,1.4,3.0,21,3,10,0.00
1991-10-31,1.4,3.0,33,2,15,0.10
1991-11-01,1.4,3.1,21,10,16,0.60
1991-11-02,1.9,3.7,21,-18,3,0.00
1991-11-03,2.0,3.7,36,-21,6,0.20
1991-11-04,2.0,3.9,44,-2,21,0.10
1991-11-05,2.1,4.0,40,21,27,0.00
1991-11-06,2.0,4.0,32,25,28,0.80
1991-11-07,2.7,4.8,47,12,26,0.10
1991-11-08,2.7,4.9,58,13,29,0.00
1991-11-09,2.7,4.9,53,17,33,0.00
1991-11-10,2.6,4.9,43,28,32,0.10
1991-11-11,2.7,5.0,45,14,28,0.00
1991-11-12,2.7,5.0,58,12,27,0.00
1991-11-13,2.7,5.0,59,13,29,0.00
1991-11-14,2.7,5.0,46,11,27,0.10
1991-11-15,2.7,5.1,28,19,22,0.00
1991-11-16,2.7,5.1,36,20,25,0.20
1991-11-17,2.9,5.3,31,15,21,0.30
1991-11-18,3.1,5.6,27,13,19,1.20
1991-11-19,4.1,6.8,31,-2,14,0.20
1991-11-20,4.2,7.0,49,-3,21,0.10
1991-11-21,4.2,7.1,33,9,22,0.40
1991-11-22,4.5,7.5,22,-4,6,0.20
1991-11-23,4.6,7.7,25,-7,4,0.10
1991-11-24,4.6,7.8,26,8,17,0.30
1991-11-25,4.7,8.1,32,17,21,0.10
1991-11-26,4.8,8.2,21,20,21,0.10
1991-11-27,5.0,8.3,49,12,26,0.00
1991-11-28,5.0,8.3,42,17,24,0.20
1991-11-29,5.1,8.5,28,4,13,0.20
1991-11-30,5.3,8.7,16,-1,6,0.00
1991-12-01,5.4,8.7,31,0,7,0.10
1991-12-02,5.4,8.8,13,1,6,0.30
1991-12-03,5.5,9.1,32,1,11,0.00
1991-12-04,5.5,9.1,48,6,21,0.00
1991-12-05,5.5,9.1,48,6,20,0.00
1991-12-06,5.5,9.1,51,6,21,0.00
1991-12-07,5.5,9.1,53,10,22,0.00
1991-12-08,5.5,9.1,41,12,22,0.00
1991-12-09,5.5,9.1,42,3,15,0.00
1991-12-10,5.5,9.1,39,3,19,0.10
1991-12-11,5.5,9.2,32,15,24,0.30
1991-12-12,5.8,9.5,35,-1,14,0.10
1991-12-13,5.9,9.6,16,-8,8,0.00
1991-12-14,5.9,9.6,33,-7,9,0.00
1991-12-15,5.9,9.6,44,0,16,0.00
1991-12-16,5.9,9.6,50,6,20,0.10
1991-12-17,5.9,9.7,51,12,23,0.00
1991-12-18,5.9,9.7,48,10,24,0.00
1991-12-19,5.9,9.7,40,9,21,0.00
1991-12-20,5.9,9.7,34,7,17,0.00
1991-12-21,5.9,9.7,13,7,10,0.00
1991-12-22,5.9,9.7,25,4,14,0.00
1991-12-23,5.9,9.7,45,5,16,0.00
1991-12-24,5.9,9.7,46,5,17,0.00
1991-12-25,5.9,9.7,46,5,17,0.00
1991-12-26,5.9,9.7,38,6,16,0.00
1991-12-27,5.9,9.7,41,3,15,0.00
1991-12-28,5.9,9.7,46,2,15,0.00
1991-12-29,5.9,9.7,4,-1,1,0.00
1991-12-30,5.9,9.7,40,-2,14,0.00
1991-12-31,5.9,9.7,29,2,12,0.10
1992-01-01,6.0,9.8,29,-4,8,0.00
1992-01-02,6.0,9.8,42,-5,13,0.10
1992-01-03,6.0,9.9,44,6,22,0.20
1992-01-04,6.0,10.1,35,13,20,0.00
1992-01-05,6.0,10.1,47,3,19,0.00
