#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 622: Mesa Lakes, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Mesa Lakes (622)
# Colorado  SNOTEL Site - 10000 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 15, 2018 5:39:59 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1986-09-08,,,11,11,11,
1986-09-09,,,,,,
1986-09-10,,,52,41,41,
1986-09-11,,,52,38,45,
1986-09-12,,,,,,
1986-09-13,,,,,,
1986-09-14,,,52,52,52,
1986-09-15,,,52,52,52,
1986-09-16,,,,,,
1986-09-17,,,57,33,43,
1986-09-18,,,43,33,40,
1986-09-19,,,48,38,44,
1986-09-20,,,48,38,44,
1986-09-21,,,53,40,44,
1986-09-22,,,43,35,38,
1986-09-23,,,47,35,38,
1986-09-24,,,36,26,29,
1986-09-25,,,31,26,28,
1986-09-26,,,42,24,29,
1986-09-27,,,45,28,33,
1986-09-28,,,44,25,32,
1986-09-29,,,47,26,34,
1986-09-30,,,45,24,31,
1986-10-01,3.0,0.0,50,28,37,0.10
1986-10-02,3.0,0.1,42,31,35,0.40
1986-10-03,3.3,0.5,41,21,30,0.10
1986-10-04,3.3,0.6,46,14,27,0.10
1986-10-05,3.3,0.7,53,16,31,0.00
1986-10-06,3.4,0.7,58,28,38,0.00
1986-10-07,3.3,0.7,55,27,37,0.00
1986-10-08,3.2,0.7,54,25,35,0.00
1986-10-09,3.1,0.7,61,27,38,0.00
1986-10-10,2.8,0.7,,,,0.00
1986-10-11,2.8,0.7,34,21,26,0.30
1986-10-12,3.3,1.0,30,5,18,0.70
1986-10-13,3.8,1.7,49,5,21,0.00
1986-10-14,3.8,1.7,51,14,28,0.00
1986-10-15,3.8,1.7,58,15,33,0.00
1986-10-16,3.9,1.7,,,,0.10
1986-10-17,3.9,1.8,,,,0.00
1986-10-18,3.9,1.8,34,28,31,0.00
1986-10-19,3.9,1.8,44,26,33,0.10
1986-10-20,3.9,1.9,,,,0.40
1986-10-21,4.4,2.3,33,22,27,0.00
1986-10-22,4.4,2.3,38,20,30,0.30
1986-10-23,4.7,2.6,50,18,30,0.00
1986-10-24,4.7,2.6,,,,0.00
1986-10-25,4.7,2.6,,,,0.00
1986-10-26,4.7,2.6,48,20,30,0.00
1986-10-27,4.7,2.6,54,27,36,0.00
1986-10-28,4.7,2.6,54,25,35,0.00
1986-10-29,4.7,2.6,53,-60,40,0.00
1986-10-30,4.7,2.6,48,31,39,0.00
1986-10-31,4.7,2.6,36,26,30,0.90
1986-11-01,5.3,3.5,42,25,29,0.30
1986-11-02,5.5,3.8,45,22,29,0.00
1986-11-03,5.5,3.8,43,16,26,0.00
1986-11-04,5.5,3.8,47,15,25,0.00
