#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 762: Slumgullion, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Slumgullion (762)
# Colorado  SNOTEL Site - 11560 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 13, 2018 8:05:09 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-07-12,,,32,32,32,
1980-07-13,,,32,32,32,
1980-07-14,,,32,32,32,
1980-07-15,,,32,32,32,
1980-07-16,,,32,32,32,
1980-07-17,,,,,,
1980-07-18,,,,,,
1980-07-19,,,,,,
1980-07-20,,,,,,
1980-07-21,,,,,,
1980-07-22,,,,,,
1980-07-23,,,,,,
1980-07-24,,,,,,
1980-07-25,,,,,,
1980-07-26,,,,,,
1980-07-27,,,,,,
1980-07-28,,,,,,
1980-07-29,,,,,,
1980-07-30,,,,,,
1980-07-31,,,,,,
1980-08-01,,,,,,
1980-08-02,,,,,,
1980-08-03,,,,,,
1980-08-04,,,,,,
1980-08-05,,,,,,
1980-08-06,,,,,,
1980-08-07,,,,,,
1980-08-08,,,,,,
1980-08-09,,,,,,
1980-08-10,,,,,,
1980-08-11,,,,,,
1980-08-12,,,,,,
1980-08-13,0.0,,,,,
1980-08-14,0.0,,,,,
1980-08-15,0.0,,,,,
1980-08-16,0.0,,,,,
1980-08-17,0.0,,,,,
1980-08-18,0.0,,32,32,32,
1980-08-19,0.0,22.8,32,32,32,0.00
1980-08-20,0.0,22.8,32,32,32,0.00
1980-08-21,0.0,22.8,32,32,32,0.00
1980-08-22,0.0,22.8,32,32,32,0.50
1980-08-23,0.0,23.3,32,32,32,1.30
1980-08-24,0.0,24.6,32,32,32,0.20
1980-08-25,0.0,24.8,32,32,32,0.00
1980-08-26,0.0,24.8,32,32,32,0.00
1980-08-27,0.0,24.8,32,32,32,0.00
1980-08-28,0.0,24.8,32,32,32,0.00
1980-08-29,0.0,24.8,32,32,32,0.00
1980-08-30,0.0,24.8,32,32,32,0.00
1980-08-31,0.0,24.8,32,32,32,0.00
1980-09-01,0.0,24.8,32,32,32,0.00
1980-09-02,0.0,24.8,32,32,32,0.00
1980-09-03,0.0,24.8,32,32,32,0.00
1980-09-04,0.0,24.8,32,32,32,0.00
1980-09-05,0.0,24.8,32,32,32,0.00
1980-09-06,0.0,24.8,32,32,32,0.00
1980-09-07,0.0,24.8,32,32,32,0.50
1980-09-08,0.0,25.3,32,32,32,0.00
1980-09-09,0.0,25.3,32,32,32,0.40
1980-09-10,0.0,25.7,32,32,32,0.20
1980-09-11,0.0,25.9,32,32,32,0.00
1980-09-12,0.0,25.9,32,32,32,0.00
1980-09-13,0.0,25.9,32,32,32,0.00
1980-09-14,0.0,25.9,32,32,32,0.10
1980-09-15,0.0,26.0,32,32,32,0.00
1980-09-16,0.0,26.0,32,32,32,0.00
1980-09-17,0.0,26.0,32,32,32,0.00
1980-09-18,0.0,26.0,32,32,32,0.00
1980-09-19,0.0,26.0,32,32,32,0.00
1980-09-20,0.0,26.0,32,32,32,0.00
1980-09-21,0.0,26.0,32,32,32,0.00
1980-09-22,0.0,26.0,32,32,32,0.00
1980-09-23,0.0,26.0,32,32,32,0.00
1980-09-24,0.0,26.0,32,32,32,0.00
1980-09-25,0.0,26.0,32,32,32,0.00
1980-09-26,0.0,26.0,32,32,32,0.00
1980-09-27,0.0,26.0,32,32,32,0.00
1980-09-28,0.0,26.0,32,32,32,0.00
1980-09-29,0.0,26.0,32,32,32,0.00
1980-09-30,0.0,26.0,32,32,32,0.00
1980-10-01,0.0,0.0,32,32,32,0.00
1980-10-02,0.0,0.0,32,32,32,0.00
1980-10-03,0.0,0.0,32,32,32,0.00
1980-10-04,0.0,0.0,32,32,32,0.00
1980-10-05,0.0,0.0,32,32,32,0.00
1980-10-06,0.0,0.0,32,32,32,0.00
1980-10-07,0.0,0.0,32,32,32,0.00
